state,round,year,area,section,indicator,harmonized_indicator,value,data_flag,source
India,NFHS-6,2023-24,Rural,Unmet Need for Family Planning (currently married women age 15-49 years),Unmet need for limiting3 (%),,4.2,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Unmet Need for Family Planning (currently married women age 15-49 years),Unmet need for limiting3 (%),,4.0,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Maternal and Child Health - Antenatal Care,Mothers who had an antenatal check-up in the first trimester (%),ANC visit in first trimester (%),81.4,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Maternal and Child Health - Antenatal Care,Mothers who had an antenatal check-up in the first trimester (%),ANC visit in first trimester (%),74.4,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Maternal and Child Health - Antenatal Care,Mothers who had an antenatal check-up in the first trimester (%),ANC visit in first trimester (%),76.2,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Maternal and Child Health - Antenatal Care,Mothers who had any antenatal care visits (%),,96.2,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Maternal and Child Health - Antenatal Care,Mothers who had any antenatal care visits (%),,95.8,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Maternal and Child Health - Antenatal Care,Mothers who had any antenatal care visits (%),,95.9,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Maternal and Child Health - Antenatal Care,Mothers who had at least 4 antenatal care visits (%),ANC: 4+ visits (%),75.8,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Maternal and Child Health - Antenatal Care,Mothers who had at least 4 antenatal care visits (%),ANC: 4+ visits (%),61.4,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Maternal and Child Health - Antenatal Care,Mothers who had at least 4 antenatal care visits (%),ANC: 4+ visits (%),65.2,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Maternal and Child Health - Antenatal Care,Mothers whose last birth was protected against neonatal tetanus4 (%),Last birth protected vs neonatal tetanus (%),94.4,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Maternal and Child Health - Antenatal Care,Mothers whose last birth was protected against neonatal tetanus4 (%),Last birth protected vs neonatal tetanus (%),93.6,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Maternal and Child Health - Antenatal Care,Mothers whose last birth was protected against neonatal tetanus4 (%),Last birth protected vs neonatal tetanus (%),93.8,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Maternal and Child Health - Antenatal Care,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),Mother took IFA 100+ days (%),67.4,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Maternal and Child Health - Antenatal Care,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),Mother took IFA 100+ days (%),50.3,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Maternal and Child Health - Antenatal Care,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),Mother took IFA 100+ days (%),54.9,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Maternal and Child Health - Antenatal Care,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),,49.2,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Maternal and Child Health - Antenatal Care,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),,33.7,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Maternal and Child Health - Antenatal Care,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),,37.8,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Maternal and Child Health - Antenatal Care,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),Mother received MCP card (%),94.9,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Maternal and Child Health - Antenatal Care,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),Mother received MCP card (%),95.9,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Maternal and Child Health - Antenatal Care,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),Mother received MCP card (%),95.6,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Maternal and Child Health - Delivery Care,Institutional births (%),Institutional births (%),95.2,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Maternal and Child Health - Delivery Care,Institutional births (%),Institutional births (%),89.0,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Maternal and Child Health - Delivery Care,Institutional births (%),Institutional births (%),90.6,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Maternal and Child Health - Delivery Care,Institutional births in public facility (%),Institutional births in public facility (%),48.2,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Maternal and Child Health - Delivery Care,Institutional births in public facility (%),Institutional births in public facility (%),62.1,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Maternal and Child Health - Delivery Care,Institutional births in public facility (%),Institutional births in public facility (%),58.6,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Maternal and Child Health - Delivery Care,Births attended by skilled health personnel5 (%),,95.3,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Maternal and Child Health - Delivery Care,Births attended by skilled health personnel5 (%),,90.0,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Maternal and Child Health - Delivery Care,Births attended by skilled health personnel5 (%),,91.3,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Maternal and Child Health - Delivery Care,Births delivered by caesarean section (%),Births delivered by caesarean section (%),40.5,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Maternal and Child Health - Delivery Care,Births delivered by caesarean section (%),Births delivered by caesarean section (%),22.8,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Maternal and Child Health - Delivery Care,Births delivered by caesarean section (%),Births delivered by caesarean section (%),27.2,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Maternal and Child Health - Delivery Care,Births in a private health facility that were delivered by caesarean section (%),C-section in private facility (%),57.4,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Maternal and Child Health - Delivery Care,Births in a private health facility that were delivered by caesarean section (%),C-section in private facility (%),52.2,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Maternal and Child Health - Delivery Care,Births in a private health facility that were delivered by caesarean section (%),C-section in private facility (%),54.1,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Maternal and Child Health - Delivery Care,Births in a public health facility that were delivered by caesarean section (%),C-section in public facility (%),28.0,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Maternal and Child Health - Delivery Care,Births in a public health facility that were delivered by caesarean section (%),C-section in public facility (%),14.0,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Maternal and Child Health - Delivery Care,Births in a public health facility that were delivered by caesarean section (%),C-section in public facility (%),16.9,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Maternal and Child Health - Postnatal Care,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery+ (%),PNC for mother within 2 days (%),88.6,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Maternal and Child Health - Postnatal Care,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery+ (%),PNC for mother within 2 days (%),80.7,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Maternal and Child Health - Postnatal Care,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery+ (%),PNC for mother within 2 days (%),82.8,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Maternal and Child Health - Postnatal Care,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,6.6,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Maternal and Child Health - Postnatal Care,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,6.4,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Maternal and Child Health - Postnatal Care,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,6.4,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Maternal and Child Health - Postnatal Care,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health personnel within 2 days of delivery+ (%),,89.9,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Maternal and Child Health - Postnatal Care,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health personnel within 2 days of delivery+ (%),,83.7,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Maternal and Child Health - Postnatal Care,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health personnel within 2 days of delivery+ (%),,85.3,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall6 (%),Child fully vaccinated (card or recall) (%),81.0,,NFHS-6 PDF
